,avg,lower percentile,max,median,min,std,total_words,upper percentile
bt_1,43192,28090,155276,40882,963,22684," 12,180,091 ",54347
bt_2,48175,30328,126383,42813,1108,24401," 10,935,673 ",60381
bt_3,45549,29633,111886,42936,677,22687," 7,652,276 ",64048
bt_4,39284,16294,103197,35600,1039,24895," 7,778,181 ",57395
bt_5,43340,16540,109279,45132,231,25960," 10,704,941 ",64406
bt_6,45054,22036,127105,42731,295,26613," 8,965,678 ",63583
bt_7,55075,24253,132469,49168,479,34215," 14,264,325 ",86396
bt_8,62701,28900,139330,65676,306,31790," 14,421,200 ",87397
bt_9,47717,21245,108214,42154,317,29777," 6,775,757 ",76462
bt_10,56894,27126,280218,48123,2114,35619," 14,564,974 ",88106
bt_11,60577,32300,139553,44968,2139,34024," 14,296,289 ",91764
bt_12,68883,37531,188576,55684,1991,39931," 16,738,515 ",103952
bt_13,67855,35132,182343,55478,323,40686," 16,828,004 ",103672
bt_14,80540,44200,209805,66413,4295,43116," 20,376,653 ",117588
bt_15,73831,41920,189365,61377,772,40636," 13,806,469 ",111167
bt_16,88423,44993,389991,69816,5447,57329," 20,602,449 ",122821
bt_17,105010,55980,933297,71326,4934,85831," 26,567,572 ",145268
bt_18,82415,45311,273414,61452,4664,49754," 20,191,730 ",116537
bt_19,84119,52704,183807,75982,4449,40561," 12,954,279 ",96012
,,,,,,," 270,605,056 ",
