,avg,lower percentile,max,median,min,std,total_words,upper percentile
rt_1,26201,21671,59108,28579,196,10763," 28,532,871 ",33224
rt_2,25701,22423,55715,26091,332,8369," 27,988,691 ",30423
rt_3,29235,25974,93449,29982,34,8877," 31,836,420 ",33843
rt_4,33007,26921,80402,32907,217,12751," 35,945,137 ",39342
rt_5,27348,16618,97769,25797,87,15624," 29,809,814 ",35832
,28298.4,,,,,," 154,112,933.00 ",
,,processed,% preserved,abs,,,,
,,28517981,0.9995,14890,,,,
,,27951312,0.9987,37379,,,,
,,31770355,0.9979,66065,,,,
,,35869217,0.9979,75920,,,,
,,29744891,0.9978,64923,,,,
,,,,,,,,
